incident_type,state_name,incident_year,month,damageCategory,avg_month,total_amount
Severe Ice Storm,North Carolina,2014,March,Protective Measures,3,768625
Severe Ice Storm,Oklahoma,2015,December,State Management,2,746766
Severe Ice Storm,Arkansas,2014,January,Public Buildings,7,622460
Severe Ice Storm,Georgia,2015,April,Protective Measures,2,600847
Severe Ice Storm,Oklahoma,2010,March,Public Buildings,5,591757
Severe Ice Storm,Arkansas,2013,January,Protective Measures,2,522430
Severe Ice Storm,Georgia,2014,March,State Management,38,418990
Severe Ice Storm,South Carolina,2014,March,Roads and Bridges,7,410006
Severe Ice Storm,Kansas,2017,February,State Management,7,391109
Severe Ice Storm,Tennessee,2015,April,Public Buildings,4,359488
Severe Ice Storm,Georgia,2014,March,Roads and Bridges,2,254342
Severe Ice Storm,Oklahoma,2015,December,Protective Measures,6,244048
Severe Ice Storm,Georgia,2015,April,State Management,2,232999
Severe Ice Storm,North Carolina,2014,March,State Management,51,209906
Severe Ice Storm,Arkansas,2014,January,Protective Measures,5,157535
Severe Ice Storm,North Carolina,2014,March,Public Buildings,10,147397
Severe Ice Storm,Tennessee,2014,April,Protective Measures,2,130839
Severe Ice Storm,South Carolina,2014,March,Public Buildings,3,122806
Severe Ice Storm,Arkansas,2014,January,State Management,8,90949
Severe Ice Storm,Kansas,2017,February,Protective Measures,4,88070
Severe Ice Storm,South Carolina,2014,March,Recreational or Other,3,79020
Severe Ice Storm,Vermont,2014,January,Protective Measures,4,73212
Severe Ice Storm,Oklahoma,2010,March,Recreational or Other,5,67880
Severe Ice Storm,Tennessee,2015,April,Water Control Facilities,4,61902
Severe Ice Storm,Arkansas,2014,January,Roads and Bridges,10,56657
Severe Ice Storm,Georgia,2014,March,Public Buildings,3,55496
Severe Ice Storm,Tennessee,2015,April,State Management,4,55165
Severe Ice Storm,Arkansas,2013,January,Recreational or Other,2,53212
Severe Ice Storm,North Carolina,2014,March,Recreational or Other,11,48947
Severe Ice Storm,Arkansas,2013,January,State Management,2,45274
Severe Ice Storm,Tennessee,2014,April,Public Buildings,1,42938
Severe Ice Storm,Arkansas,2014,January,Recreational or Other,5,39940
Severe Ice Storm,Georgia,2014,March,Recreational or Other,3,39794
Severe Ice Storm,Tennessee,2015,April,Recreational or Other,3,37337
Severe Ice Storm,Vermont,2014,January,State Management,3,26221
Severe Ice Storm,Oklahoma,2015,December,Public Buildings,16,19322
Severe Ice Storm,North Carolina,2014,March,Roads and Bridges,3,16269
Severe Ice Storm,Georgia,2015,April,Public Buildings,3,16163
Severe Ice Storm,Tennessee,2014,April,State Management,1,13535
Severe Ice Storm,Oklahoma,2015,December,Recreational or Other,5,10766
Severe Ice Storm,Arkansas,2013,January,Public Buildings,2,10765
Severe Ice Storm,Georgia,2015,April,Recreational or Other,2,7209
Severe Ice Storm,Kansas,2017,February,Public Buildings,4,3320
Severe Ice Storm,Vermont,2014,January,Public Buildings,5,844
Severe Ice Storm,Tennessee,2014,April,Recreational or Other,1,750
Snowstorm,Maryland,2016,March,Protective Measures,6,63684848
Snowstorm,Kansas,2017,June,Public Utilities,15,59382132
Snowstorm,Maryland,2010,May,Protective Measures,4,54904697
Snowstorm,New Jersey,2011,February,Protective Measures,2,47584606
Snowstorm,Illinois,2011,March,Protective Measures,3,46305900
Snowstorm,Virginia,2016,March,Protective Measures,8,45407153
Snowstorm,Pennsylvania,2016,March,Protective Measures,7,43609952
Snowstorm,Pennsylvania,2010,April,Protective Measures,4,42457666
Snowstorm,Massachusetts,2011,March,Protective Measures,3,25586791
Snowstorm,Maryland,2010,February,Protective Measures,4,24433080
Snowstorm,New York,2014,December,Protective Measures,4,23926713
Snowstorm,Virginia,2010,April,Protective Measures,6,20278752
Snowstorm,New York,2017,July,Protective Measures,8,20257090
Snowstorm,Virginia,2010,February,Protective Measures,7,19667342
Snowstorm,District of Columbia,2016,March,Protective Measures,5,16433402
Snowstorm,New Jersey,2010,February,Protective Measures,2,13590235
Snowstorm,Connecticut,2011,March,Protective Measures,3,13502192
Snowstorm,New Jersey,2010,March,Protective Measures,2,13059773
Snowstorm,Wisconsin,2011,April,Protective Measures,2,8082617
Snowstorm,Delaware,2010,March,Protective Measures,4,7609077
Snowstorm,Virginia,2010,April,Public Utilities,5,3577113
Snowstorm,District of Columbia,2010,March,Protective Measures,5,3536705
Snowstorm,New York,2017,July,Public Utilities,12,3515102
Snowstorm,New York,2014,December,Roads and Bridges,4,3425709
Snowstorm,New Jersey,2011,February,Recreational or Other,6,2944895
Snowstorm,Kentucky,2015,April,Protective Measures,12,2802530
Snowstorm,Maine,2015,March,Protective Measures,3,2521272
Snowstorm,Maryland,2016,March,Recreational or Other,10,2368247
Snowstorm,New York,2017,July,State Management,35,2205308
Snowstorm,Virginia,2010,April,Debris Removal,5,2198755
Snowstorm,West Virginia,2010,April,Protective Measures,4,2153429
Snowstorm,New York,2014,December,Public Buildings,5,2040225
Snowstorm,Maryland,2016,March,Roads and Bridges,6,1929021
Snowstorm,West Virginia,2010,March,Protective Measures,3,1881317
Snowstorm,New York,2017,July,Public Buildings,10,1730065
Snowstorm,Maryland,2010,May,Public Buildings,5,1674264
Snowstorm,Kansas,2017,June,State Management,22,1611080
Snowstorm,New Jersey,2011,February,State Management,39,1379281
Snowstorm,Virginia,2010,February,Debris Removal,4,1333855
Snowstorm,Kansas,2013,April,Protective Measures,1,1276060
Snowstorm,Maryland,2010,May,Public Utilities,5,1222434
Snowstorm,New York,2014,December,State Management,57,1219694
Snowstorm,Delaware,2010,March,Public Utilities,4,1132680
Snowstorm,Kansas,2017,June,Debris Removal,4,1130982
Snowstorm,West Virginia,2010,April,Debris Removal,5,1042163
Snowstorm,Illinois,2011,March,Public Utilities,4,1040328
Snowstorm,West Virginia,2010,March,Debris Removal,4,1033155
Snowstorm,Virginia,2016,March,State Management,13,961995
Snowstorm,Virginia,2010,February,State Management,14,958626
Snowstorm,Pennsylvania,2016,March,State Management,4,850122
Snowstorm,Virginia,2010,April,State Management,8,815066
Snowstorm,Kentucky,2015,April,Roads and Bridges,6,758054
Snowstorm,Virginia,2010,February,Public Utilities,6,733118
Snowstorm,Virginia,2010,April,Public Buildings,5,720808
Snowstorm,Delaware,2016,March,Water Control Facilities,14,712221
Snowstorm,Maryland,2016,March,Public Buildings,7,708936
Snowstorm,New York,2014,December,Debris Removal,3,643078
Snowstorm,Pennsylvania,2010,April,Debris Removal,4,640449
Snowstorm,Maryland,2010,May,Debris Removal,4,636676
Snowstorm,Delaware,2016,March,Recreational or Other,13,634454
Snowstorm,New Jersey,2010,March,Debris Removal,3,615899
Snowstorm,Pennsylvania,2010,April,State Management,26,597255
Snowstorm,Illinois,2011,March,State Management,2,549041
Snowstorm,Kentucky,2015,April,Public Utilities,6,504386
Snowstorm,Maryland,2010,May,Recreational or Other,5,473193
Snowstorm,Maryland,2010,May,Roads and Bridges,5,428947
Snowstorm,District of Columbia,2016,March,Roads and Bridges,5,413884
Snowstorm,New York,2017,July,Recreational or Other,26,354493
Snowstorm,Pennsylvania,2010,April,Public Buildings,5,300016
Snowstorm,Delaware,2010,March,Public Buildings,5,270855
Snowstorm,Kansas,2017,June,Roads and Bridges,6,260030
Snowstorm,Kansas,2017,June,Protective Measures,4,250201
Snowstorm,Massachusetts,2011,March,Debris Removal,4,242168
Snowstorm,Maryland,2016,March,Debris Removal,8,236186
Snowstorm,Virginia,2010,April,Roads and Bridges,5,218851
Snowstorm,Virginia,2016,March,Public Utilities,6,218480
Snowstorm,Virginia,2016,March,Roads and Bridges,7,208489
Snowstorm,New York,2014,December,Public Utilities,4,205400
Snowstorm,Maryland,2016,March,Public Utilities,6,190835
Snowstorm,Illinois,2011,March,Debris Removal,3,162224
Snowstorm,Virginia,2010,February,Public Buildings,5,158760
Snowstorm,Maryland,2016,March,State Management,3,149624
Snowstorm,District of Columbia,2016,March,Public Buildings,5,149491
Snowstorm,Maryland,2010,February,State Management,3,148432
Snowstorm,Pennsylvania,2010,April,Recreational or Other,4,143585
